Company-ID	Website	Company	Date	Location	Status	Stage	Sectors	Tags	Description	Person-1-Photo	Person-1-Name	Person-1-Position	Person-1-Blog-Link	Person-2-Photo	Person-2-Name	Person-2-Position	Person-2-Blog-Link	Person-3-Photo	Person-3-Name	Person-3-Position	Person-3-Blog-Link	Person-4-Photo	Person-4-Name	Person-4-Position	Person-4-Blog-Link	Person-5-Photo	Person-5-Name	Person-5-Position	Person-5-Blog-Link	Person-6-Photo	Person-6-Name	Person-6-Position	Person-6-Blog-Link	Person-7-Photo	Person-7-Name	Person-7-Position	Person-7-Blog-Link	Person-8-Photo	Person-8-Name	Person-8-Position	Person-8-Blog-Link	Person-9-Photo	Person-9-Name	Person-9-Position	Person-9-Blog-Link	Person-10-Photo	Person-10-Name	Person-10-Position	Person-10-Blog-Link	Investment-Period-1	Investment-Amt-1	Investment-Tag-1	Investment-Period-2	Investment-Amt-2	Investment-Tag-2	Investment-Period-3	Investment-Amt-3	Investment-Tag-3	Investment-Period-4	Investment-Amt-4	Investment-Tag-4	Investment-Period-5	Investment-Amt-5	Investment-Tag-5	Product-Name-1	Product-Info-1	Product-Name-2	Product-Info-2	Product-Name-3	Product-Info-3	Product-Name-4	Product-Info-4	Product-Name-5	Product-Info-5	Competitor-URL-3	Milestone-1	Date-1	Milestone-2	Date-2	Milestone-3	Date-3	Milestone-4	Date-4	Milestone-5	Date-5	Milestone-6	Date-6	Milestone-7	Date-7	Milestone-8	Date-8	Milestone-9	Date-9	Milestone-10	Date-10	Data-Chart	Album-1	Album-1-Followed
																																																																																																		
10010835	http://www.nextbuy360.com	"Beijing Yidianer Tech. Co., Ltd."	"June, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	E-Commerce	"Creative Design Service, E-Commerce"	"NextBuy is an e-commerce website providing opportunites for its users to participate in the product design, the manufacturing process, or the pricing part of the production process."	http://itjuzi.com/thumb/?w=50&h=50&src=/images/2e6b977dd85b6be736fe98efac27fd48.jpg	Yan Liu	CEO	http://weibo.com/1752166204																																																				Nextbuy	E-Commerce Website with users involved in product design									http://itjuzi.com/company/4928	"After receving Angel Investment from PreAngel, Nextbuy was officially launched."	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.nextbuy360.com		
																																																																																																		
																																																																																																		
10010826	http://v.52ku.com/home.do	"Guangdong Quantong Education Co., Ltd."	"June, 2014"	"Guangzhou, Guangdong"	In Operation	Listed	Education	"New Product by Large Companies, Education"	"12580.net is an online education website facing all K-12 students. It provides online courses, online homework, online tests and other online resources."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Zhichang Chen	Chairman																																																					v.52ku.com	K12 online education website									http://itjuzi.com/company/6480	Quanke.com was online.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=v.52ku.com		
																																																																																																		
																																																																																																		
10010808	http://www.yimai.com	"Haikou Yimai Trading Co., Ltd."	"June, 2014"	"Haikou, Hainan"	In Operation	Initial Stage	E-Commerce	"B2C , O2O , E-Commerce"	"Yimai Mall is a online shopping mall mainly facing the Hainan market, providing both e-commerce sevices and logistics services. Under Haikou Yimai Trading Company"																																																								yimai.com	Haikou e-commerce website									http://itjuzi.com/company/10216	Yimai online commerce platform was online.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.yimai.com		
																																																																																																		
10010773	http://www.manglao.com		"June, 2014"	"Guangzhou, Guangdong"	In Operation	Initial Stage	Travel	"Travel, SNS"	"Manglao Tranvel is a travel website providing directory information, reviews of travel-related content as well as  interactive travel forums."																																																								manglao.com	Travel information sharing and interaction website									http://itjuzi.com/company/11283	Manglao Travel was officially founded.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.manglao.com		
																																																																																																		
10010736	http://www.arts121.com	"Ningbo Arts121 Arts Co., Ltd."	"June, 2014"	"Ningbo, Zhejiang"	In Operation	Initial Stage	Arts&Sports	Arts	Arts121 is an online arts platform where artists could exhibit or trade their artworks. It is a product by Ningbo Arts11 Arts Limited Company																																																								arts121.com	Online arts service									http://itjuzi.com/company/7243	Yinieyiyi platform was online.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.arts121.com		
																																																																																																		
10010731	http://www.yunduo.com	"Xiamen Yunduo Network Technology Co., Ltd."	"June, 2014"	"Xiamen, Fujian"	In Operation	Initial Stage	Electronic Hardware	"Security, Wearable Devices, Early Childhood Education"	"Yunduo Children Safety Shoes is a children's wearable device that provides location notice, safety notice for children. It is a product by Xiamen Yunduo Network Technology Company"	http://itjuzi.com/thumb/?w=50&h=50&src=/images/556741faaac6fc59d92812f1974674ec.png	Dejing Kong	CEO	http://weibo.com/36963																																																														http://itjuzi.com/company/1170	"Yunduoer, the security shoes for children, was offically released."	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.yunduo.com		
																																																																																																		
																																																																																																		
10011861	http://www.gigacircle.com		"May, 2014"	"Taipei, Taiwan"	In Operation	Initial Stage	Media	"Media , Reading"	Gigacircle is a blogger platform enabling its users to make money by sharing or writing blogs on the website. 																																																																		http://itjuzi.com/company/10480	Gigacircle.com was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.gigacircle.com		
																																																																																																		
																																																																																																		
10011793	http://yaoqing.im		"May, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	Software Tools	Software Tools	"Yaoqing.com is a website generating simple invitation cards by accessing your Sina Weibo account to extract date, time, and event content information"																																																																		http://itjuzi.com/company/7699	Yaoqing Product was released.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=yaoqing.im		
																																																																																																		
																																																																																																		
10011694	http://www.haijiao.cn	"Shenzhen HaijiaoNet Network Technology Co., Ltd."	"May, 2014"	"Shenzhen, Guangdong"	In Operation	Initial Stage	Travel	"P2P , Travel , Mobile Travel"	"HaijiaoNet is a mobile application that provides travel services such as offering local guides, and customerized travel routes. It is a product under Shenzhen HaijiaoNet Information Technology Company."																																																								HaijiaoNet iOS App	Travel with local people									http://itjuzi.com/company/6900	The iPhone version of Haijiao.com was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.haijiao.cn		
																																																																																																		
10011626	http://www.qiaxz.com/	"Beijing Qiaxingzhe Technology Co., Ltd."	"May, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	Enterprise Services	"Outsourcing ,IT Consulting , Mobile Office"	"Beijing Qiaxingzhe is a solution and service provider for enterprise informationization and mobilization. It offers development of MDM, MAM, MCM, MIM, MMM and MSM"																																																																		http://itjuzi.com/company/7532	Beijing Qiaxingzhe Technology LLC. was officially registerd and founded.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.qiaxz.com		
																																																																																																		
10011598	http://www.13xm.com	"Chengdu Kalun Technology Co., Ltd."	"May, 2014"	"Chengdu, Sichuan"	In Operation	Initial Stage	Healthcare	"Healthcare , Health Management"	xm13.com is a healthcare website providing medical test results analysis and healthcare consultancy services. It is a website under Chengdu Kalun Technology Company.	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Tao Wen	Founder																																																					13xm.com	Online medical care services									http://itjuzi.com/company/5158	PandaDoctor.com was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.13xm.com		
																																																																																																		
10011555	http://www.bookshi.com		"May, 2014"	"Suzhou, Jiangsu"	In Operation	Initial Stage	Media	Media	"BookShi is a newly founded technology new media company; it integrates news, technology info, mobile internet, enterpreneurship, investment and product assessment into a technology info website as well as communication platform."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Ming Li	Sales Manager																																																					bookshi.com	Technology Website									http://itjuzi.com/company/5299	Book.com was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.bookshi.com		
																																																																																																		
10011511	http://www.shaodaike.com	Shanghai Xinbin IT Service	"May, 2014"	"Minhang District, Shanghai"	In Operation	Initial Stage	Comsumer Life	"P2P , Shipment&Logistics"	"Shao Dai Ke is a website featuring P2P users transmision service; it works by the sender bringing his/her goods to the nearby intermediate station, some transmitter (Shao Dai Ke) bringing along the goods on his/her way to the destination, and the receiver retrieving the goods at the nearest intermediate station. The website is a product of Shanghai Xin Qiu Computer Service Station and is keen on enviromental friendliness."																																																								shaodaike.com	P2P Delivery and Logistics Services									http://itjuzi.com/company/3884	Shaodaike.com was online.	"January, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.shaodaike.com		
																																																																																																		
10011509	http://www.luyanba.com	"Wuxi Luyin Investment Management Co., Ltd."	"May, 2014"	"Xuzhou, Jiangsu"	In Operation	Initial Stage	Financial Service	"Finance , Crowd Funding, Joint Investment, "	"LuYan Club is a platform for enterpreneurs and investors to have online road show, equity financing and communication; it is affiliated to Wu Xi LuYan Investment Management Ltd.Co  "	http://itjuzi.com/thumb/?w=50&h=50&src=/images/88cb800db3aa45db16fc85b9ba0aa401.jpg	Bailong Liu	Chairman	http://weibo.com/qinminceo	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Honglin Zhu	CEO																																																											http://itjuzi.com/company/8727	Luyanba was officially founded.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.luyanba.com		
																																																																																																		
10011487	http://www.tibird.com/	"Beijing Wentiniao Information Technology Co., Ltd."	"May, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	Education	"Education , Online Education"	"TiBird is an app for primary and middle school students to solve their problems in homework; it claims to serve users like ""their own Tsinghua personal study assistant"", and is affiliated to Yutai(Fu Zhou) Internet Technology Ltd.Co."	http://itjuzi.com/thumb/?w=50&h=50&src=/images/eaace323760996797210833e441c413a.png	Peng Sun	CEO	http://weibo.com/sunpengthu	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Xinlei Li	Co-founder																																		"June, 2014"	Millions of RMB 	Shanghai Xinjin Ventures																							http://itjuzi.com/company/5084	Wentinao (Beijing) Information Technology LLC. was officially registered and founded.	"May, 2014"	Wentiniao received millions of rmb from Xinjin Ventures	"June, 2014"																	http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.tibird.com		
																																																																																																		
10011471	http://www.98173.com/	"Fuzhou Yutai Network Technology Co., Ltd."	"May, 2014"	"Fuzhou, Fujian"	In Operation	Initial Stage	Financial Service	"Mobile Games , Crowd Funding, Joint Investment, "	"98173.com is a crowdfunding service website in the mobile game market. It offers funds and resources for mobile game developers and is an honorable product by Fuzhou Yutei Network Technology Co., Ltd."																																																								98173.com	Mobile Game Crowdfunding Website									http://itjuzi.com/company/44	Zoubayiqishangwangzhan.com was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.98173.com		
																																																																																																		
10011453	http://aituwen.com/	"Beijing Getu Technology Co., Ltd."	"May, 2014"	"Changping Distrct, Beijing"	In Operation	Initial Stage	Mobile Internet	"Photography, Digital Publishing"	"Getu Technology is a WeChat platform that offers personal digital management. Users can share, record their lives through ""Aituwen""."																																																																		http://itjuzi.com/company/2505	Getu(Beijing) Technology LLC. was officially registred and founded.	"May, 2014"	Getu was online (WeChat Account: getutech)	"June, 2014"																	http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=aituwen.com		
																																																																																																		
10011447	http://nbyue.com	"Shanghai Xianxian Information Technology Co., Ltd."	"May, 2014"	"Pudong District, Shanghai"	In Operation	Initial Stage	Transportation Network	"P2P , Transportation Network, Texi Booking Service"	"Nbyue is a P2P smart texi booking mobile application. It offers accurate LBS, smart matching of similar routes, and in-time updates for booking information. It is an honorable product by Shanghai Xianxian Information Technology Co., Ltd."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Guoshun Zhang	Founder																																																					NByue Android App	Texi Booking App									http://itjuzi.com/company/9800	Lingjiayueche App was released.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=nbyue.com		
																																																																																																		
10011300	http://www.imlxs.com/	"Nanjing Ruirui Software Technology Co., Ltd"	"May, 2014"	"Nanjing, Jiangsu"	In Operation	Initial Stage	Mobile Internet	"SNS , Mobile Applications , Studying Abroad Services"	"Liuxueseng is a mobile social application providing second-hand exchange, dating service and other information for Chinese students who are studying overseas. It is an honorable product by Nanjing Ruirui Software Technology Co., Ltd."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Rui Zhang	CEO																																																					Luixueseng iOS App	Targeted at international students	Luixueseng Android App	Targeted at international students							http://itjuzi.com/company/9245	Liuxuesen App was released.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.imlxs.com		
																																																																																																		
10011129	http://www.jyc99.com	"Zhejiang Juyoucai Financial Service Outsourcing Co., Ltd."	"May, 2014"	"Hangzhou, Zhejiang"	In Operation	Initial Stage	Financial Service	"Financial Management , Finance"	"Jyc99 is an Internet financial service platform that provides services like financial manegment service, loan service and other financial services thorugh both its website and its application. IT is owned by Zhejiang Juyoucai Financial Service Outsourcing Co., Ltd. "	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Jianfeng Qiu	Chairman		http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Ke Ke	General Manager		http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Zhubing Jiang	Chief Investment Officer																																																							http://itjuzi.com/company/1335	Juyoucai product was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.jyc99.com		
																																																																																																		
10011128	http://app.xiaomi.com/detail/63235	"Beijing Xianhua Information Technology Co., Ltd."	"May, 2014"	"Changping Distrct, Beijing"	In Operation	Initial Stage	E-Commerce	"Mobile E-Commerce, Credit Service, Campus Service"	"Xianhuahua, owned by Xianhua Information Technology Company, is a mobile application targeting at college students. Its users can buy with the app and pay later, as well as increase personal creit."																																																								Xianhuahua Android App	"Buy first and pay later, targeted at college students"									http://itjuzi.com/company/11804	Beijing Xianhua Information Technology LLC. was officially registered and founded.	"May, 2014"	Xianhuahua App was launched	"June, 2014"																	http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=app.xiaomi.com		
																																																																																																		
10011120	http://www.rollingp.com		"May, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	Mobile Internet	"Photography, Mobile Applications"	"Zhuanzhuanpai is a mobile Internet start-up company. Its main products includes ""Bodian"" mobile pictures and video application."																																																																		http://itjuzi.com/company/9245	Zhuanzhuanpai was founded.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.rollingp.com		
																																																																																																		
10011094	http://www.1qiquan.com		"May, 2014"	"Putuo District, Shanghai"	In Operation	Initial Stage	Financial Service	"Stocks , Finance"	"1qiquan is a financial vertical service website focusing on option investment. It provides training on option investment, trading guidence and etc."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Zhimin Xu	Founder																																																					1qiquan.com	Options vertical portal									http://itjuzi.com/company/7394	Yiqiquan was online now.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.1qiquan.com		
																																																																																																		
10011057	http://www.cslpod.com		"May, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	Education	"Education , Mobile Applications , Online Education"	ChineseSkill is an educational mobile application of Chinese learning enabling its users to learn Chinese via online games.	http://itjuzi.com/thumb/?w=50&h=50&src=/images/375e5a90064aa05c569a74d51a3f927b.jpg	Zhulong Wang	Founder	http://weibo.com/u/2106361233																																																				ChineseSkill iOS App	Mobile Chinese-learning application									http://itjuzi.com/company/1237	ChineseSkill iOS application was released.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.cslpod.com		
																																																																																																		
10011026	http://www.zonzii.com	"Shenzhen Zhongzi Network Co., Ltd."	"May, 2014"	"Chaoyang District, Beijing"	In Operation	Initial Stage	Mobile Internet	"Mobile Applications , Software Tools"	"WhatToDo, an honorable product by Shenzhen Zhongzi Network Co., Ltd., is a mobile application that recommends 7 things every day for its users to do, including books, places, food, arts and so on."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Ziyu Wang	CEO		http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Yangchun Li	Marketing Director		http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Hanping Liu	Product Director		http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Lei Tang	CTO																																									WhatToDo Android App	Recommend seven things to do everyday for its users									http://itjuzi.com/company/9303	WhatToDo Andriod application was released.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.zonzii.com		
																																																																																																		
10011024	http://chuang.pro/	"Beijing Shengbang Investment Co., Ltd."	"May, 2014"	"Haidian District, Beijing"	In Operation	Initial Stage	Media	"Entrepreneurial Services , Media"	"Chuan.Pro, product by Beijing Weirui Technology Co., Ltd., is a technology media facing entrepreneurs"	http://itjuzi.com/thumb/?w=50&h=50&src=/images/943bb7d89debf73bf3042b64aa2f75a4.png	Ningyu Lan	CEO	http://weibo.com/p/1005051400941374																																																				chuang.pro	New Media									http://itjuzi.com/company/328	Chuangzhi.com was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=chuang.pro		
																																																																																																		
10011016	http://www.fineck.com	"Beijing Weirui Technology Co., Ltd."	"May, 2014"	"Chaoyang District, Beijing"	Not online yet	Initial Stage	Electronic Hardware	"Wearble Devices , Consumer Electronics , Hardware , Healthcare"	"Fineck, an honorable product by Beijing Weirui Tech. Co., Ltd., is a hardware&software company. Finneck designs and produces smart necklaces that are able to protect its users's necks by sending reminders and notices about users' sitting position, and etc."	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Di Shen	Chairman		http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Zhiqiang Sun	Co-founder																																		"June, 2014"	Millions or rmb	Innovation Works																							http://itjuzi.com/company/8984	Beijing Weirui Technology LLC. was officially registered and founded.	"May, 2014"	Beijing Weirui Technology receivedd millions of RMB investment from Innovation Works	"June, 2014"																	http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.fineck.com		
																																																																																																		
10010971	https://www.daxiangce123.com/	"Shanghai Kuizhi Network Technology Co., Ltd."	"May, 2014"	"Xuhui District, Shanghai"	In Operation	Initial Stage	Mobile Internet	"Photography, Mobile Applications"	"Daxiangce is a mobile application that enbles its users to upload, share and download pictures as a group. It is an honorable product by Shanghai Kuizhi Network Technology Company"	http://itjuzi.com/thumb/?w=50&h=50&src=/images/9ba4e05f0d22430dab74d532fef8b2c7.jpg	Shikui Jiang (Chris Mathews)	CEO	http://weibo.com/p/1005051757080423																																																				Daxiangce iOS App	Group Picture Sharing	Daxiangce Android App	Group Picture Sharing							http://itjuzi.com/company/2038	Dxiangce APP was released.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.daxiangce123.com		
																																																																																																		
10010950	http://www.bbfstore.com		"May, 2014"	"Chaoyang District, Beijing"	In Operation	Initial Stage	E-Commerce	"B2C, Wine Service"	#BBF(Be Best Friend) is a wine service platform that provides gift wrapping and gif sending services for its users	http://itjuzi.com/thumb/?w=50&h=50&src=/images/b2a8ba3522fcb512486e697a330e16e8.jpg	Yufei Jin	Founder	http://weibo.com/julienzhang																																																				bbfstore.com	Wine & gift services									http://itjuzi.com/company/10597	#BFF brand was founded.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.bbfstore.com		
																																																																																																		
10010929	http://www.ifirefly.cn/	"Shanghai Guanxi Information Technology Co., Ltd."	"May, 2014"	"Xuhui District, Shanghai"	In Operation	Initial Stage	Mobile Internet	"Event Coordination, Mobile Applications"	"Firefly is a mobile application that sends its users reminders, notices about events. It is a product by Guanxi Information technology Company."	http://itjuzi.com/thumb/?w=50&h=50&src=/images/aa8da552dd0f473d091bf739a513114c.png	Congqing Wang	CEO	http://weibo.com/p/1005052109038325																																																				Firefly iOS App	Mobile event discoverer and reminder	Firefly Android App	Mobile event discoverer and reminder							http://itjuzi.com/company/10978	Firefly release its mobile application.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.ifirefly.cn		
																																																																																																		
10010910	http://weibo.com/beequick24	"Beijing Zhongchenghuitong Information Technology Co., Ltd."	"May, 2014"	"Dongcheng District, Beijing"	In Operation	Initial Stage	E-Commerce	"Local Services , WeChat Platform, O2O , Mobile E-Commerce"	Beequick24 is a food delivery and logistics platform that provides its service through WeChat account beequick24. It is a product by Beijing Zhongchenghuitong Information Technology Company.																																																																		http://itjuzi.com/company/9823	Aixianfeng Wechat service platform was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=weibo.com		
																																																																																																		
10010903	http://www.bijiji.net		"May, 2014"	"Guangzhou, Guangdong"	In Operation	Initial Stage	Mobile Internet	"Hardware, Mobile Phone"	Bijiji.net is an online application that provide performance testings for mibile phones. 																																																								bijiji.net	Cell phone performace testing service									http://itjuzi.com/company/10159	Bijiji was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.bijiji.net		
																																																																																																		
10010900	http://www.duibuy.com/	"Dongguan Xindong Huiyi Jewellery Co., Ltd."	"May, 2014"	"Dongguan, Guangdong"	In Operation	Initial Stage	E-Commerce	"B2C , Jewelry"	"DuiBuy, an honorable product by Shenzhen Shouhuobao Internet Financial Service Co., Ltd., is a B2C website selling silver jewellery."																																																								duibuy.com	Online silver jewellery seller 									http://itjuzi.com/company/4064	Duigouwang was online.	"May, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.duibuy.com		
																																																																																																		
